type,properties/Record ID,properties/First Name,properties/Last Name,properties/Email,properties/Collect Date,properties/Loc_City,properties/Loc_Country,properties/Loc_Lat_Lon,properties/Institution Type,properties/Institution,properties/Department,properties/Job Title,properties/Phone,properties/Website,properties/Industry,properties/Tech,properties/Radius,geometry/type,geometry/coordinates/0,geometry/coordinates/1
Feature,17,Scarlet,Cooley,Donec.est@turpisnecmauris.com,10/6/17,Rastatt,Saint Pierre and Miquelon,"-41.60881, 58.2776",Corporation,Ultricies Consulting,Finances,Other,1-272-672-1297,"iaculis enim, sit amet ornare lectus justo eu",Defense and Security,VR/AR,3,Point,46.8852,-56.3159
Feature,18,Bernard,Gentry,consequat.purus.Maecenas@metusAeneansed.org,7/23/17,Tsiigehtchic,Algeria,"-23.89383, 165.36548",Others,Vitae Aliquam Ltd,Customer Service,Other,1-820-167-4931,"varius orci, in consequat enim diam vel",Defense and Security,IOT,3,Point,28.033886,1.659626
Feature,19,Laurel,Randolph,imperdiet@lectuspede.net,4/28/17,Duffel,Canada,"-59.4027, -33.34436",University,Nullam Industries,Accounting,Developer,1-399-180-3679,"luctus vulputate, nisi sem",SAP Academy for iOS,Machine Learning,2,Point,56.130366,-106.346771
Feature,20,Imogene,Walls,Nulla.interdum@sem.org,5/8/17,Tumbler Ridge,Reunion,"73.61768, 58.14612",Others,Sapien Aenean Foundation,Advertising,Other,1-400-534-4315,"metus vitae velit egestas lacinia. Sed congue,",Industrial Machinery & Components,Machine Learning,3,Point,-21.115141,55.536384
Feature,21,Victoria,Holden,urna@DonecegestasDuis.co.uk,1/2/18,Elversele,Solomon Islands,"64.32922, 106.04679",Others,Per Inceptos LLC,Media Relations,Developer,1-105-281-3489,"mi. Duis risus odio, auctor",Telecommunication,IOT,1,Point,-9.64571,160.156194
Feature,22,Macaulay,Simpson,morbi.tristique.senectus@arcuAliquam.net,9/23/17,Saint-Quentin,Venezuela,"58.88953, 51.51776",Corporation,Neque Sed Eget Institute,Media Relations,Manager,1-773-295-1702,Nunc sollicitudin commodo ipsum. Suspendisse non leo.,Utilities,IOT,2,Point,6.42375,-66.58973
Feature,23,Kai,Bentley,auctor.ullamcorper@auctorullamcorper.edu,5/15/17,Hantes-WihÅ½ries,Angola,"13.44316, -0.8323",Corporation,Tincidunt Nunc Ltd,Sales and Marketing,Other,1-581-119-8267,"enim, sit amet ornare",Media,Machine Learning,1,Point,-11.202692,17.873887
Feature,24,Erica,Farrell,ut@perinceptoshymenaeos.net,10/15/17,Minneapolis,Turkey,"7.83439, 73.63282",Corporation,Pellentesque LLP,Quality Assurance,Other,1-379-277-0115,"Sed malesuada augue ut lacus. Nulla tincidunt, neque",Internet of Things,VR/AR,1,Point,38.963745,35.243322
Feature,25,Ezra,Pittman,ligula.elit@sitametlorem.net,11/13/17,Falisolle,Australia,"43.72576, -39.10366",Corporation,Lorem Vehicula Company,Customer Service,Developer,1-777-936-7876,mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis,Mill Products,Others,2,Point,-25.274398,133.775136
Feature,26,Clare,Acevedo,mauris.ut.mi@Sedmalesuadaaugue.net,8/6/17,Llanquihue,Niue,"75.28986, -44.02614",Others,Nulla LLC,Human Resources,Developer,1-110-230-3047,"non, feugiat nec,",Engineering Construction & Operations,Machine Learning,2,Point,-19.054445,-169.867233
Feature,27,Allegra,Fitzgerald,ante@eratvolutpatNulla.com,8/14/17,Gravelbourg,Vanuatu,"-74.57517, 113.6865",Corporation,Quis Corporation,Public Relations,Manager,1-768-243-5284,hymenaeos. Mauris ut quam vel,Wholesale,Others,1,Point,-15.376706,166.959158
Feature,28,Iris,James,metus.Aliquam@sagittisNullam.co.uk,8/21/17,Fort Worth,Greece,"72.48868, 56.90713",Startup,Donec Felis Associates,Payroll,Product Manager,1-809-811-9782,"non, lobortis quis, pede. Suspendisse",Healthcare,VR/AR,1,Point,39.074208,21.824312
Feature,29,Tana,Bradshaw,eros.Proin@Nunccommodoauctor.org,9/20/17,Nogales,Guyana,"-49.62896, 170.96504",Startup,Lorem Eget Corp.,Human Resources,Developer,1-583-963-2339,"dui, nec tempus",Life Sciences,Machine Learning,1,Point,4.860416,-58.93018
Feature,30,Lucius,Cameron,vitae.posuere.at@sedconsequat.ca,5/16/17,Bargagli,Turkey,"17.16096, 92.122",Corporation,Eget Company,Asset Management,Other,1-609-305-2228,"ultricies adipiscing, enim mi tempor",Automotive,VR/AR,2,Point,38.963745,35.243322
Feature,31,McKenzie,Mcfarland,pede.Suspendisse.dui@leoVivamus.co.uk,12/28/17,Stoke-on-Trent,Falkland Islands,"60.08645, 130.68627",Others,Posuere Cubilia Curae; Limited,Public Relations,Developer,1-654-417-2027,Sed molestie. Sed id risus,Media,Machine Learning,1,Point,-51.796253,-59.523613
Feature,32,Callie,Pugh,tristique.senectus.et@tempor.net,8/1/17,Cornwall,Lebanon,"13.51472, 1.36832",University,Tellus LLC,Accounting,Designer,1-314-415-8292,non enim commodo hendrerit. Donec porttitor tellus,Internet of Things,VR/AR,1,Point,33.854721,35.862285
Feature,33,Jenna,Carroll,nulla.magna.malesuada@nequevenenatis.com,6/26/17,Beervelde,Congo (Brazzaville),"11.4604, 1.42203",Others,Mauris Ut Mi Company,Media Relations,Other,1-145-514-2511,non leo. Vivamus,Mill Products,Others,3,Point,-0.228021,15.827659
Feature,34,Nayda,Adams,et.rutrum.eu@Phasellusfermentum.net,10/7/17,Porretta Terme,Afghanistan,"-46.07187, -143.64984",Corporation,Adipiscing Non Industries,Legal Department,Designer,1-871-824-6125,"sollicitudin a, malesuada id, erat. Etiam vestibulum",CIOs,VR/AR,3,Point,33.93911,67.709953
Feature,35,Randall,Jenkins,vel.nisl@Cumsociisnatoque.ca,8/13/17,Orange,South Africa,"8.02598, -29.31932",Corporation,Id Mollis Nec Industries,Finances,Product Manager,1-255-280-1707,"lobortis, nisi nibh lacinia orci, consectetuer euismod",Mahine Learning,Others,3,Point,-30.559482,22.937506
Feature,36,Blythe,Lynn,ultrices.posuere.cubilia@etmalesuadafames.com,6/4/17,Okpoko,Belgium,"83.64094, 79.85618",University,Proin Nisl Sem PC,Tech Support,Designer,1-883-479-3831,"vulputate dui, nec tempus mauris erat",Industrial Machinery & Components,VR/AR,2,Point,50.503887,4.469936
Feature,37,Tallulah,Hudson,sit@quamelementum.edu,10/9/17,Marchienne-au-Pont,Moldova,"87.45537, 110.61231",Others,Id Incorporated,Customer Service,Designer,1-810-530-6079,nisl. Nulla eu neque,Blockchain,Machine Learning,3,Point,47.411631,28.369885
Feature,38,Isabelle,Hall,Aliquam.gravida.mauris@sedestNunc.edu,6/11/17,Hollabrunn,Estonia,"-54.86114, -174.47234",Startup,Imperdiet Nec Corporation,Quality Assurance,Designer,1-258-490-2603,"vehicula et, rutrum eu, ultrices sit",Mill Products,IOT,1,Point,58.595272,25.013607
Feature,39,Dacey,Merrill,facilisis.magna@volutpatNulladignissim.ca,7/28/17,Ziano di Fiemme,South Georgia and The South Sandwich Islands,"-71.61094, -112.07746",Others,Erat Etiam Vestibulum Incorporated,Finances,Other,1-814-420-8649,lacus. Etiam bibendum,WOMEN,IOT,2,Point,-54.429579,-36.587909
Feature,40,Lee,Warner,libero@nonmagnaNam.org,6/27/17,Marzabotto,Monaco,"-53.24, 164.85748",Corporation,Ultricies Adipiscing Enim Industries,Advertising,Product Manager,1-532-945-5262,ac turpis egestas.,WOMEN,IOT,2,Point,43.73841760000001,7.424615799999999
Feature,41,Dora,Wagner,tellus.non.magna@cursusdiamat.net,5/19/17,Columbus,Guadeloupe,"29.49685, -168.87037",Others,Fusce Aliquet Corporation,Quality Assurance,Designer,1-139-891-2611,consectetuer mauris id,Chemicals,VR/AR,1,Point,16.265,-61.55099999999999
Feature,42,Justin,Stevenson,Nunc.ac.sem@pellentesqueSeddictum.org,11/12/17,Beauvais,Cook Islands,"-39.9088, -12.10478",Others,Dapibus Id Consulting,Tech Support,Developer,1-717-950-2742,"vel est tempor bibendum. Donec felis orci, adipiscing",Oil & Gas,Machine Learning,2,Point,-21.236736,-159.777671
Feature,43,Kaseem,Kemp,interdum.enim.non@consequatnecmollis.com,11/20/17,Bologna,Israel,"-18.69394, 169.2032",Others,Sit Corp.,Public Relations,Product Manager,1-117-260-7355,"et, rutrum eu, ultrices sit amet, risus.",Life Sciences,Others,1,Point,31.046051,34.851612
Feature,44,Pandora,Blackwell,egestas@Pellentesque.net,7/16/17,Sparwood,Bahrain,"-56.00631, 10.73856",Corporation,Magna Duis Consulting,Sales and Marketing,Designer,1-433-288-9339,ultrices posuere cubilia Curae;,Purpose Driven Innovation,Machine Learning,2,Point,26.0667,50.5577
Feature,45,Madison,Sherman,Lorem.ipsum.dolor@Phasellus.net,6/1/17,Ife,Uganda,"-70.12638, 171.76995",Corporation,Lorem Lorem Luctus Industries,Research and Development,Manager,1-444-210-9018,"vestibulum nec, euismod in, dolor. Fusce feugiat. Lorem",Aerospace,IOT,1,Point,1.373333,32.290275
Feature,46,Hedwig,Alvarado,eget.ipsum.Donec@In.edu,10/2/17,Merchtem,Micronesia,"-68.76258, 114.91241",University,Blandit Enim Consequat LLP,Advertising,Product Manager,1-738-839-7847,vel turpis. Aliquam adipiscing lobortis risus. In mi,Mining,IOT,3,Point,6.8874581,158.2225229
Feature,47,Ebony,Howell,tortor.nibh.sit@faucibusorciluctus.com,9/15/17,Lacombe County,Tonga,"0.26525, 7.77269",Startup,Est Industries,Payroll,Other,1-326-441-6198,lobortis tellus justo sit amet nulla.,Banking,VR/AR,2,Point,-21.178986,-175.198242
Feature,48,Alana,Britt,Mauris.quis@arcu.net,7/29/17,Fogo,Viet Nam,"-26.44461, 87.32241",Startup,Mattis Velit Justo Limited,Legal Department,Product Manager,1-365-852-6771,eu neque pellentesque massa lobortis ultrices.,Utilities,Machine Learning,1,Point,14.058324,108.277199
Feature,49,Brittany,Melendez,ac.mattis.ornare@arcuSed.ca,4/19/17,Armungia,Burkina Faso,"43.59399, -158.28237",Others,Volutpat Ornare Facilisis LLC,Accounting,Developer,1-490-623-9861,"et, euismod et, commodo at, libero.",Virtual Reality,VR/AR,3,Point,12.238333,-1.561593
Feature,50,MacKenzie,Wooten,Donec@faucibus.edu,1/31/18,Bad Oldesloe,Finland,"19.01818, 81.38151",University,Ipsum Donec Sollicitudin Industries,Tech Support,Manager,1-215-121-7808,"vel, convallis in, cursus et, eros. Proin",Blockchain,Machine Learning,2,Point,61.92410999999999,25.748151
Feature,51,McKenzie,Bonner,parturient.montes@Curabiturconsequatlectus.org,10/22/17,Dornoch,Sao Tome and Principe,"21.44049, -150.93661",Corporation,Nulla Industries,Public Relations,Designer,1-445-159-4057,non sapien molestie orci tincidunt,Entertainment,Others,2,Point,0.18636,6.613080999999999
Feature,52,Tanisha,Marsh,nibh@consectetueradipiscingelit.com,12/27/17,Asbestos,United States Minor Outlying Islands,"63.63271, 77.20753",University,Aliquam Erat Volutpat LLC,Media Relations,Product Manager,1-593-251-1908,risus quis diam luctus lobortis.,Life Sciences,IOT,3,Point,19.2823192,166.647047
Feature,53,Brennan,Cummings,at.sem@non.co.uk,7/20/17,Gonda,Turkey,"-87.20105, 80.01274",University,Mi Tempor Corp.,Finances,Developer,1-907-604-7796,nulla at sem molestie sodales. Mauris blandit,WOMEN,Others,2,Point,38.963745,35.243322
Feature,54,Aladdin,Lewis,non.luctus@vellectusCum.co.uk,9/21/17,Miramichi,South Georgia and The South Sandwich Islands,"-1.72311, 94.00508",University,Nunc Nulla Vulputate Corporation,Accounting,Developer,1-903-824-1622,nec enim. Nunc ut erat. Sed nunc,WOMEN,Machine Learning,2,Point,-54.429579,-36.587909
Feature,55,Barclay,Edwards,orci.lobortis@lacusQuisque.edu,10/28/17,Fortune,Venezuela,"20.72388, -169.37767",Corporation,Sem Consequat Nec Consulting,Accounting,Developer,1-487-445-2778,"eu, ligula. Aenean",Sports,Machine Learning,1,Point,6.42375,-66.58973
Feature,56,Lev,Olsen,odio.Aliquam@velitegestaslacinia.org,7/25/17,Berg,Bolivia,"-56.55082, -20.00228",Startup,Rhoncus Limited,Accounting,Product Manager,1-715-384-4260,tincidunt dui augue eu tellus.,High Tech,IOT,2,Point,-16.290154,-63.58865299999999
Feature,57,Berk,Castillo,est.ac@risusDuisa.co.uk,9/5/17,Schulen,Guernsey,"-77.66184, 148.44783",Corporation,Cursus Institute,Asset Management,Product Manager,1-151-204-2575,metus. Aliquam erat volutpat.,Banking,Others,3,Point,49.465691,-2.585278
Feature,58,George,Kramer,aliquam.eros.turpis@viverra.co.uk,6/8/17,Los Lagos,Barbados,"-67.66131, -48.27523",University,Sapien Associates,Accounting,Manager,1-438-412-2568,risus. In mi,Blockchain,IOT,3,Point,13.193887,-59.543198
Feature,59,Rebekah,Thompson,arcu.Aliquam.ultrices@neque.org,1/17/18,The Hague,Gibraltar,"-86.25458, -40.08037",Startup,Vel Turpis Institute,Media Relations,Designer,1-440-124-6975,luctus. Curabitur egestas nunc,Mahine Learning,IOT,3,Point,36.140751,-5.353585
Feature,60,Mariko,Le,Curabitur.sed@aliquam.ca,9/10/17,North Saanich,Marshall Islands,"59.15462, 146.04619",Others,Magna Et LLP,Quality Assurance,Developer,1-603-352-1268,Curabitur ut odio vel est tempor bibendum.,Internet of Things,VR/AR,1,Point,11.3246908,166.8417424
Feature,61,Jamal,Obrien,In.nec.orci@velit.co.uk,8/5/17,Cuccaro Vetere,Andorra,"-86.54139, 173.96427",University,Lacus Pede LLC,Media Relations,Other,1-273-179-1739,"laoreet, libero et tristique pellentesque, tellus",Automotive,Machine Learning,1,Point,42.506285,1.521801
Feature,62,Oren,Wilson,pharetra.ut.pharetra@perinceptos.ca,9/18/17,Elgin,Cambodia,"28.05118, -99.18881",University,Nulla Aliquet Proin Industries,Finances,Product Manager,1-271-864-2771,imperdiet dictum magna. Ut tincidunt orci quis lectus.,Healthcare,IOT,1,Point,12.565679,104.990963
Feature,63,Adara,Wade,volutpat.Nulla@euodioPhasellus.org,6/16/17,Rae Lakes,United States,"-26.64762, -31.51575",Startup,Risus Quisque Libero LLP,Customer Service,Manager,1-427-190-6880,Donec nibh. Quisque nonummy,CIOs,Machine Learning,2,Point,37.09024,-95.712891
Feature,64,Kaden,Gates,elit.pede.malesuada@quamvelsapien.com,6/10/17,Bouffioulx,Syria,"80.0956, 114.38849",Corporation,Arcu LLC,Payroll,Manager,1-934-944-7716,"erat semper rutrum. Fusce dolor quam, elementum at,",Virtual Reality,IOT,3,Point,34.80207499999999,38.996815
Feature,65,Beck,Witt,vitae.purus@malesuada.net,10/27/17,FinspÃ¥ng,Nicaragua,"-17.12155, -10.07047",Corporation,Sed Pede Industries,Media Relations,Designer,1-536-757-1936,nec urna et arcu imperdiet ullamcorper. Duis at,Mill Products,IOT,3,Point,12.865416,-85.207229
Feature,66,Hamish,Mendoza,facilisis.magna@nibhvulputatemauris.org,9/25/17,Sulzbach,Armenia,"54.98453, -81.62468",Others,Purus Gravida Sagittis Inc.,Advertising,Product Manager,1-570-239-4091,massa lobortis ultrices. Vivamus rhoncus. Donec est. Nunc,Higher Ed & Research,VR/AR,2,Point,40.069099,45.038189
Feature,67,Xena,Love,In@penatibusetmagnis.co.uk,5/1/17,Uitbergen,Azerbaijan,"-79.03433, 17.4484",University,Massa Suspendisse Inc.,Legal Department,Developer,1-653-700-7317,velit justo nec ante.,Media,VR/AR,3,Point,40.143105,47.576927
Feature,68,Harding,Rivas,euismod@Vivamusmolestie.org,8/4/17,Welland,Singapore,"-73.87338, 75.06826",Startup,Elit Company,Public Relations,Developer,1-200-506-8251,diam vel arcu. Curabitur ut odio vel est,HR,IOT,3,Point,1.352083,103.819836
Feature,69,Hollee,Graves,iaculis.nec@magnaa.net,12/20/17,Cuccaro Vetere,Eritrea,"4.57154, -34.12705",Others,Pulvinar Arcu Ltd,Accounting,Other,1-466-439-8217,"est. Nunc ullamcorper,",Telecommunication,Others,2,Point,15.179384,39.782334
Feature,70,Sade,Camacho,Nulla.tincidunt@nec.co.uk,8/14/17,Fuenlabrada,Oman,"48.59133, -116.61064",University,Tortor Nunc Commodo Inc.,Human Resources,Manager,1-214-419-6342,primis in faucibus orci luctus et,Retail,VR/AR,2,Point,21.4735329,55.975413
Feature,71,Marsden,Ballard,Integer.aliquam@estmollis.edu,8/30/17,Wellington,"Congo, the Democratic Republic of the","55.8257, -77.1828",Others,Eros Corp.,Tech Support,Other,1-955-563-1548,"congue a, aliquet vel, vulputate eu, odio. Phasellus",Entertainment,Machine Learning,1,Point,-4.038333,21.758664
Feature,72,Mona,Colon,neque@parturient.org,12/13/17,Grand Rapids,Denmark,"-2.65825, -42.19297",University,Aenean LLP,Accounting,Manager,1-998-355-0249,est arcu ac orci. Ut semper pretium neque.,Insurance,Machine Learning,1,Point,56.26392,9.501785
Feature,73,Oleg,Mcgee,augue.ut.lacus@Fuscemilorem.org,5/23/17,Tintigny,Singapore,"0.6411, -12.40673",Startup,Id Enim Foundation,Tech Support,Designer,1-570-828-1492,"lacus pede sagittis augue, eu tempor erat",Telecommunication,VR/AR,3,Point,1.352083,103.819836
Feature,74,Callum,Day,tellus@rhoncusDonec.org,8/9/17,Grangemouth,Saint Vincent and The Grenadines,"15.25647, -23.05103",Corporation,Dui Cras Foundation,Research and Development,Designer,1-444-452-4900,"metus vitae velit egestas lacinia. Sed congue,",Professional Services,Others,1,Point,13.2528179,-61.19716279999999
Feature,75,Dawn,Sullivan,fames.ac.turpis@arcuNuncmauris.net,12/9/17,Panguipulli,Armenia,"39.71836, -28.30742",University,Integer Aliquam Institute,Legal Department,Product Manager,1-550-255-0639,Phasellus dapibus quam quis diam.,Insurance,IOT,3,Point,40.069099,45.038189
Feature,76,Ruth,Stephenson,risus.varius@sem.ca,9/6/17,Margate,Hong Kong,"2.56697, -173.23842",Others,Cursus Et Inc.,Payroll,Manager,1-362-109-2055,est. Nunc laoreet,Automotive,Machine Learning,1,Point,22.396428,114.109497
Feature,77,Erich,Emerson,Fusce.dolor.quam@ipsumsodalespurus.ca,5/13/17,MÃ¶dling,Kuwait,"-86.49823, -30.51818",Startup,Pede Foundation,Human Resources,Other,1-467-197-3846,"laoreet, libero et tristique pellentesque, tellus",Purpose Driven Innovation,IOT,3,Point,29.31166,47.481766
Feature,78,Claudia,Suarez,urna.Ut@malesuadafames.co.uk,10/21/17,North Bay,Bolivia,"88.69368, -117.17215",Others,Nonummy Ut Corporation,Customer Relations,Manager,1-183-102-8990,"dis parturient montes, nascetur ridiculus mus. Proin vel",Blockchain,VR/AR,1,Point,-16.290154,-63.58865299999999
Feature,79,Carter,Gordon,ridiculus.mus.Donec@elementum.org,6/26/17,Opoeteren,Portugal,"-83.86525, 29.50881",Others,Turpis Non Enim Institute,Quality Assurance,Other,1-849-343-7670,feugiat metus sit amet ante. Vivamus non,Sports,Others,2,Point,39.39987199999999,-8.224454
Feature,80,Veda,Beck,adipiscing.Mauris.molestie@auctor.com,8/21/17,Albany,Yemen,"-2.22668, -178.38926",Corporation,Molestie Tortor Corporation,Media Relations,Other,1-607-287-3280,"ac, feugiat non,",Oil & Gas,Machine Learning,1,Point,15.552727,48.516388
Feature,81,Lois,Jarvis,viverra.Maecenas@ultricesposuere.co.uk,6/23/17,Aquila d'Arroscia,Zimbabwe,"-69.91167, -66.06744",University,Natoque Penatibus PC,Accounting,Other,1-620-835-3774,"Mauris vestibulum, neque sed dictum eleifend, nunc risus",Public Sector,Others,1,Point,-19.015438,29.154857
Feature,82,Blaze,Daniel,est@nisiMauris.net,7/5/17,Pallavaram,French Southern Territories,"79.10123, -119.84081",Others,Nunc Mauris Consulting,Media Relations,Manager,1-549-671-9168,egestas. Duis ac arcu. Nunc mauris. Morbi non,Oil & Gas,Others,2,Point,-49.280366,69.348557
Feature,83,Ashely,Abbott,Vivamus.non@consectetuer.edu,9/5/17,Ficarolo,Indonesia,"-38.36222, -80.85744",University,Nulla Integer Consulting,Legal Department,Manager,1-161-425-1179,"mattis semper, dui",Mahine Learning,Machine Learning,2,Point,-0.789275,113.921327
Feature,84,Ian,Whitehead,ac.arcu.Nunc@diam.ca,11/1/17,Lithgow,Armenia,"-82.46813, -171.69687",Others,Sagittis Placerat Cras Associates,Research and Development,Other,1-736-947-4192,"non, hendrerit id, ante.",Automotive,Machine Learning,1,Point,40.069099,45.038189
Feature,85,Hanna,Slater,Nullam.vitae.diam@placeratCrasdictum.org,9/25/17,NeudÃ¶rfl,Austria,"59.11953, 108.48739",Corporation,Ipsum Inc.,Payroll,Designer,1-176-501-1319,In faucibus. Morbi,WOMEN,IOT,3,Point,47.516231,14.550072
Feature,86,Ignacia,Gould,orci.quis@sagittislobortismauris.ca,5/30/17,North Bay,Jamaica,"81.77152, 23.82086",University,Nam Porttitor Scelerisque Incorporated,Tech Support,Designer,1-627-741-1470,"lorem ipsum sodales purus,",Engineering Construction & Operations,VR/AR,3,Point,18.109581,-77.297508
Feature,87,Alan,Sloan,penatibus.et.magnis@lectus.com,5/10/17,Piana degli Albanesi,Myanmar,"76.13756, 130.86329",Startup,Pharetra Ut Pharetra Inc.,Media Relations,Other,1-547-332-1169,"vitae nibh. Donec est mauris, rhoncus id,",Insurance,VR/AR,2,Point,21.916221,95.955974
Feature,88,Madeline,Maddox,dictum@magna.org,1/26/18,Tuscaloosa,Yemen,"-87.17363, -27.25222",Corporation,Massa Mauris Associates,Advertising,Product Manager,1-279-576-9548,"sed sem egestas blandit. Nam nulla magna, malesuada",Mining,IOT,3,Point,15.552727,48.516388
Feature,89,Ora,Alford,Nunc.commodo@Vestibulumante.org,5/19/17,Haren,Chile,"3.53466, 17.58263",Startup,Non PC,Human Resources,Manager,1-274-768-2688,natoque penatibus et,Travel and transportation,Others,1,Point,-35.675147,-71.542969
Feature,90,Kato,Lindsey,placerat.augue.Sed@diam.org,7/8/17,Neder-Over-Heembeek,Croatia,"-19.9221, -59.1823",Startup,Phasellus Dolor Elit Ltd,Accounting,Designer,1-839-584-3586,non justo. Proin non massa non ante bibendum,Oil & Gas,IOT,2,Point,45.1,15.2
Feature,91,Stephanie,Greene,et.euismod@diameudolor.net,12/13/17,Pallavaram,Puerto Rico,"-71.58685, -171.48265",University,Elit A PC,Media Relations,Developer,1-550-154-0399,"semper erat, in consectetuer ipsum nunc id",CIOs,VR/AR,1,Point,18.220833,-66.590149
Feature,92,Tucker,Franklin,quis@Vestibulum.co.uk,1/29/18,Wick,Saint Lucia,"-39.4924, 87.41132",Startup,Ut Incorporated,Research and Development,Manager,1-733-790-2982,"cursus et, eros. Proin ultrices. Duis volutpat nunc",Wholesale,VR/AR,1,Point,13.909444,-60.978893
Feature,93,Mufutau,Melendez,Mauris@iaculislacuspede.edu,1/31/18,Marseille,Macao,"-59.22804, -130.44122",Startup,Lorem PC,Public Relations,Designer,1-613-120-9483,Vivamus non lorem,Robotics,VR/AR,1,Point,22.198745,113.543873
